Source Target Weight
0 1 3
0 13 1
0 37 1
0 51 1
0 438481 1
1 0 3
1 4 354
1 10 2602
1 11 2689
1 12 1
1 18 345
1 19 311
1 23 1
1 24 366
1 27 2622
1 31 2659
1 32 2658
1 36 392
1 39 2596
1 40 2579
1 43 2584
1 44 2628
1 45 2622
1 47 2684
1 50 3
1 58 2644
1 62 362
1 63 354
1 64 340
1 68 2589
1 69 2550
1 71 2660
1 73 366
1 74 358
1 76 380
1 77 2705
1 80 352
1 81 348
1 82 2603
1 83 2616
1 85 342
1 87 2538
1 88 2549
1 97 1
1 98 3
1 103 323
1 104 2679
1 105 159
1 106 338
1 108 2686
1 110 2
1 112 2
1 116 2
1 117 338
1 118 38
1 129 354
1 130 384
1 134 364
1 141 2647
1 144 2575
1 150 2609
1 151 358
1 173 1
1 179 6
1 189 382
1 196 368
1 200 361
1 202 5
1 222 2
1 226 17
1 229 2
1 231 340
1 236 1
1 258 1
1 264 1
1 275 13
1 279 374
1 301 1
1 324 1
1 335 3
1 336 2
1 362 1
1 365 326
1 371 12
1 372 1
1 373 2
1 437 17
1 439 15
1 450 5
1 455 2
1 475 7
1 477 25
1 480 2
1 483 1
1 509 1
1 533 1
1 539 19
1 566 17
1 571 1
1 591 1
1 603 1
1 621 17
1 629 38
1 642 2
1 688 11
1 690 4
1 700 2
1 703 67
1 705 1
1 727 1
1 769 1
1 795 1
1 869 2
1 875 1
1 885 1
1 923 1
1 930 2
1 931 4
1 934 3
1 939 13
1 950 2
1 953 2
1 964 7
1 988 2
1 996 19
1 1006 442
1 1010 1
1 1054 3
1 1059 1
1 1060 2
1 1076 4
1 1077 2
1 1136 2
1 1137 2
1 1148 2
1 1183 1
1 1195 5
1 1196 2
1 1225 32
1 1236 63
1 1267 1
1 1271 1
1 1275 1
1 1291 1
1 1292 1
1 1293 3
1 1294 3
1 1328 4
1 1332 1
1 1345 167
1 1355 7
1 1368 1
1 1381 2
1 1391 4
1 1394 8
1 1398 5
1 1405 10
1 1406 1
1 1429 14
1 1435 2
1 1442 23
1 1486 6
1 1490 2
1 1495 1
1 1504 2
1 1506 60
1 1532 7
1 1537 2
1 1601 1
1 1626 2
1 1632 4
1 1637 2
1 1639 4
1 1655 17
